"time","p_L","p_A","p_M","pi_t","avg_vulnerability","n_disasters","disaster_severity","n_migrations","scenario","replication"
169,0.06,0.43,0.51,0.0150135690570338,0,5,0,0,"Baseline",1
170,0.09,0.4,0.51,0.0224115964180325,0,5,0,0,"Baseline",1
171,0.09,0.4,0.51,0.0405717584230923,0,5,0,0,"Baseline",1
172,0.1,0.39,0.51,0.0405717584230923,0.0180786487339533,6,0.106854158938035,0,"Baseline",1
173,0.06,0.43,0.51,0.0493042559653722,0.00111904635723019,6,0,0,"Baseline",1
174,0.05,0.44,0.51,0.0224115964180325,0,6,0,0,"Baseline",1
175,0.02,0.47,0.51,0.0183502417056918,0,6,0,0,"Baseline",1
176,0.04,0.45,0.51,0.0100325551860134,0,6,0,0,"Baseline",1
177,0.03,0.46,0.51,0.0150135690570338,0,6,0,0,"Baseline",1
178,0.03,0.46,0.51,0.0122760250714682,0,6,0,0,"Baseline",1
179,0.01,0.48,0.51,0.0122760250714682,0,6,0,0,"Baseline",1
180,0.05,0.44,0.51,0.0081956822453947,0,6,0,0,"Baseline",1
181,0.07,0.42,0.51,0.0183502417056918,0,6,0,0,"Baseline",1
182,0.07,0.42,0.51,0.0273467867961829,0,6,0,0,"Baseline",1
183,0.08,0.41,0.51,0.0273467867961829,0,6,0,0,"Baseline",1
184,0.09,0.4,0.51,0.0333316865338533,0,6,0,0,"Baseline",1
185,0.07,0.42,0.51,0.0405717584230923,0,6,0,0,"Baseline",1
186,0.06,0.43,0.51,0.0273467867961829,0,6,0,0,"Baseline",1
187,0.06,0.43,0.51,0.0224115964180325,0,6,0,0,"Baseline",1
188,0.07,0.42,0.51,0.0224115964180325,0,6,0,0,"Baseline",1
189,0.06,0.43,0.51,0.0273467867961829,0,6,0,0,"Baseline",1
190,0.05,0.44,0.51,0.0224115964180325,0,6,0,0,"Baseline",1
191,0.04,0.45,0.51,0.0183502417056918,0,6,0,0,"Baseline",1
192,0.02,0.47,0.51,0.0150135690570338,0,6,0,0,"Baseline",1
193,0.01,0.48,0.51,0.0100325551860134,0,6,0,0,"Baseline",1
194,0.03,0.46,0.51,0.0081956822453947,0,6,0,0,"Baseline",1
195,0.04,0.45,0.51,0.0122760250714682,0,6,0,0,"Baseline",1
196,0.06,0.43,0.51,0.0150135690570338,0,6,0,0,"Baseline",1
197,0.05,0.44,0.51,0.0224115964180325,0,6,0,0,"Baseline",1
198,0.05,0.44,0.51,0.0183502417056918,0,6,0,0,"Baseline",1
199,0.03,0.46,0.51,0.0183502417056918,0,6,0,0,"Baseline",1
200,0.05,0.44,0.51,0.0122760250714682,0,6,0,0,"Baseline",1
1,0.29,0.51,0.2,0.794129628199053,0.362896447414649,1,0,20,"High Risk, Low Adaptation",1
2,0.16,0.64,0.2,0.362969205519617,0.31813231838576,1,0,0,"High Risk, Low Adaptation",1
3,0.13,0.67,0.2,0.0474258731775668,0.27415324910765,1,0,0,"High Risk, Low Adaptation",1
4,0.09,0.71,0.2,0.02758528222679,0.233139672237565,1,0,0,"High Risk, Low Adaptation",1
5,0.09,0.71,0.2,0.0132228217523051,0.193844102333183,1,0,0,"High Risk, Low Adaptation",1
6,0.07,0.73,0.2,0.0132228217523051,0.157223443083581,1,0,0,"High Risk, Low Adaptation",1
7,0.11,0.69,0.2,0.00912563738918052,0.123339880476939,1,0,0,"High Risk, Low Adaptation",1
8,0.12,0.68,0.2,0.0191240367508889,0.0952492005036911,1,0,0,"High Risk, Low Adaptation",1
9,0.14,0.66,0.2,0.0229773699100256,0.0724321643613511,1,0,0,"High Risk, Low Adaptation",1
10,0.08,0.72,0.2,0.0330859783887041,0.0534628948752069,1,0,0,"High Risk, Low Adaptation",1
11,0.15,0.65,0.2,0.0109869426305932,0.0358964046692708,1,0,0,"High Risk, Low Adaptation",1
12,0.13,0.67,0.2,0.03963883910097,0.0228206182987196,1,0,0,"High Risk, Low Adaptation",1
13,0.05,0.75,0.2,0.02758528222679,0.0114226386137306,1,0,0,"High Risk, Low Adaptation",1
14,0.08,0.72,0.2,0.00628990213689248,0.00474877687904516,1,0,0,"High Risk, Low Adaptation",1
15,0.12,0.68,0.2,0.0109869426305932,0.00119945419870782,1,0,0,"High Risk, Low Adaptation",1
